,Retweets,Likes,Tweet
84,221,4259,"🗣 GAVI!!!
🗣 ANSU!!!

#GetafeBarça https://t.co/PZj7tslCcZ"
85,130,2276,Purple kits today for #GetafeBarça 💟 https://t.co/b8Rgrcacwa
86,458,4297,"Barça XI
#GetafeBarça
💪🟦🟥 https://t.co/G0pzEd052N"
87,90,1525,"📍 Coliseum Alfonso Pérez, ahead of #GetafeBarça https://t.co/1mYrSoYEbg"
88,228,2415,"When people say ""no one's perfect"", they’re obviously forgetting about @FCBfemeni 

🔨 @stanleytools https://t.co/2z9Lj8lDgI"
89,395,5518,"looks so easy 🤯

#GetafeBarça https://t.co/MxxvUNMUKl"
90,97,1764,"Some 🍟 with that chip please

⏳ #GetafeBarça https://t.co/33hpdoyGnd"
91,171,3230,"So lovely from Xavi...

🔜 #GetafeBarça https://t.co/SM7WDWozzm"
92,774,25513,"Happy Sunday, Culers! 🤪 https://t.co/SqyR2gsqBQ"
93,156,2979,"📍 Madrid
#GetafeBarça https://t.co/b6OMfoDq4H"
94,470,11130,𝐎𝐁𝐉𝐄𝐂𝐓𝐈𝐕𝐄: 𝐓𝐎 𝐖𝐈𝐍 https://t.co/IRi9gN8Z9r
95,187,5438,"✈ Madrid
#GetafeBarça https://t.co/zoWNyVAQhu"
96,1773,33693,"𝑯𝒂𝒑𝒑𝒚𝒚𝒚𝒚 𝑩𝒊𝒓𝒕𝒉𝒅𝒂𝒚𝒚𝒚𝒚! 🎶

🥳 @Dembouz 🎂 https://t.co/tDPnIM8KUw"
97,140,2286,"G⚽AL OF THE DAY

🎂 Happy Birthday to De Boer brothers! https://t.co/9rsSPKxMCl"
98,718,13836,SQUAD LIST | #GetafeBarça https://t.co/LhnUsvvrx4
99,469,16226,𝐓𝐈𝐓𝐀𝐍 https://t.co/o20bUF91ip
100,139,2581,🔊 Sound On https://t.co/GrsF0DzpDe
101,162,3459,😘 Kisses from @DaniAlvesD2 https://t.co/eMDMcHkB8E
102,950,16551,"🖤 We are dismayed by the death of Maxi Rolón (1995), a FC Barcelona youth football player from 2010 to 2016. We express our deepest condolences and send full support to his family. Rest in peace. https://t.co/8G9Gh016Y4"
103,127,2651,⏰🌎 When and where to watch #GetafeBarça https://t.co/Eehofio3Kw
104,547,23881,𝐀𝐔𝐁𝐀 🚀 https://t.co/uvuAFsaEKd
105,159,3898,"Oh là là, Dembélé https://t.co/AeRxNxWk5u"
106,621,20650,happiness https://t.co/vbZIjlJar7
107,83,2007,"📲 The #GetafeBarça Match Day Challenge is now open! 

🥳 Win a trip to Barcelona and tickets to a game at Camp Nou! 

🎁 A big prize could await you!"
108,149,6571,"Look who stopped by! 

👋 @muniesa92 https://t.co/0zhEtCMtUo"
109,150,3430,"💜 @FCBarcelona &amp; @FCBfemeni 💜
https://t.co/RKDfKcA3ks"
110,439,17598,"Recover soon, @ericgm3 💙❤️ https://t.co/Ua3H6qb3PY"
111,133,2811,"🗣 Xavi: ""We highly value Balde, tomorrow he will probably get some playing time""

🔜 #GetafeBarça https://t.co/2lbTIyzKRW"
112,133,2761,"Xavi: ""We have to improve our level of play"" https://t.co/aqjMyToEW5"
113,125,2918,"Xavi: ""We must fight for titles next season. We are Barça and we have to win"" https://t.co/NTXWKX8mY3"
114,94,2017,"Xavi: ""I have it planned out in my head, but it depends on our economic situation"" https://t.co/SGyCQWzKqS"
115,82,1700,Xavi speaks on @RonaldAraujo_4 👇 https://t.co/z0eJUhfvnV
116,64,1106,"⚡️ 𝙓𝘼𝙑𝙄 𝙇𝙄𝙑𝙀 ⚡️
Barça manager Xavi Hernández speaks to the media ahead of Sunday’s #GetafeBarça

𝗪𝗔𝗧𝗖𝗛 𝗡𝗢𝗪 𝗢𝗡 𝗕𝗔𝗥𝗖̧𝗔 𝗧𝗩+
🖥 https://t.co/y4T6zDqzRN https://t.co/R3ItGHRPOe"
117,215,4386,Having fun 😁 https://t.co/uRUZlLx7au
118,76,1476,"⚡️ 𝙇𝙄𝙑𝙀 𝙒𝙊𝙍𝙆𝙊𝙐𝙏 ⚡️
Training session at the Ciutat Esportiva Joan Gamper ahead of Sunday’s #GetafeBarça

𝗪𝗔𝗧𝗖𝗛 𝗡𝗢𝗪 𝗢𝗡 𝗕𝗔𝗥𝗖̧𝗔 𝗧𝗩+
🖥 https://t.co/y4T6zDqzRN https://t.co/eenq9Ed220"
119,206,3455,"G⚽️AL OF THE DAY
📅 Tomorrow we play against Getafe
🏡 #MadeInLaMasia #Xavi https://t.co/O3RWM0cVQm"
120,194,4868,🤩  @LuukdeJong9 doesn't just score headers https://t.co/7a0AQZlR0m
121,180,4786,The Ansu Salute https://t.co/0EtGZWnMS2
122,547,22089,gavi literally just hanging out https://t.co/oZv9UAG9jk
123,272,3663,The @FCBmasia U19B team shows how it's done 🔥 https://t.co/DpOVk0KWyQ
124,176,4347,still got it https://t.co/aou68QzWTF
125,224,2836,"#OTD On a night just like tonight ... May 13, 2009

🏆 _ _ _ _ _

We won the Copa del Rey, the first domino to fall in the legendary treble and sextuple season https://t.co/J6hjRDKPtv"
126,104,3028,"• Happy memories
• Defensive opponents...
• Enes Ünal in great form
• A coach who knows Barça well
• Aubameyang on 299
https://t.co/IAJZbd8ywe"
127,338,5960,The most motivating @Pedri video you'll see today https://t.co/GP2CctTuqP
128,122,3157,"𝙎𝙐𝙉𝘿𝘼𝙔 𝙀𝙑𝙀𝙉𝙄𝙉𝙂 𝙁𝙊𝙊𝙏𝘽𝘼𝙇𝙇
#GetafeBarça https://t.co/joeoAYTpVq"
129,669,18116,😍😍😍😍!!!! https://t.co/aWwhFuBt9S
130,186,8248,🚨 Deal of the week: Get your shorts at half-price with the purchase of your jersey
131,1218,38754,💪 @Pedri working hard https://t.co/nXlfGMKZ5n
132,120,2254,"What a photo! 🥰

The @FundacioFCB's Barça Genuine team hanging out with the Barça team before beginning the second phase of LaLiga Genuine! https://t.co/mFPFl40DY4"
133,261,5671,Dembélé teasing Gavi this morning 😜 https://t.co/n4mt5oM5mp
134,173,5590,LATEST NEWS | Eric Garcia has undergone a successful operation on his right thumb. This operation was carried out by Dr. Xavier Mir under the supervision of the Club's medical services. The player is out and his recovery will determine his availability. https://t.co/6nd7OnRESw
135,662,22428,"🎂 𝗛𝗔𝗣𝗣𝗬 𝗕𝗜𝗥𝗧𝗛𝗗𝗔𝗬, @OscarMingueza! 🥳 https://t.co/GvSi05NoUt"
136,306,4798,"G⚽️AL OF THE DAY
🎂 Happy birthday, @YayaToure!
⁉️ Do you remember this goal? https://t.co/rz9XxO8NMl"
137,118,3569,"#ForçaBarça 
💪🔵🔴

https://t.co/WeCrtmtaDi"
138,634,32245,Guess who 👇🏻 https://t.co/pxqMY0zW9m
139,307,8860,In which tier is the 2011 Champions League Final for @DaniAlvesD2? And for you? https://t.co/G6Y3JzKfsP
140,4483,64334,"🚨 BREAKING NEWS 🚨
 
FC Barcelona and Aston Villa have reached an agreement to transfer Philippe Coutinho for 20 million euros

🔗 All the details: https://t.co/czrYc33wzX https://t.co/G5NN56FgQh"
141,147,2377,"🤪 𝐓𝐈𝐄𝐑 𝐋𝐈𝐒𝐓 with @DaniAlvesD2 
 
 🇧🇷 The Brazilian full back sorts his most memorable games of his career! 

👀 Do you agree with his list? https://t.co/3A6KreYY0l"
142,139,3213,"The eFootball™ 2022 update is here and you can play for 🆓!

🎮 Experience the Blaugrana in @konami‘s latest football game.

Take Barça to the top and bring glory to the Camp Nou! 🏟️ 

@play_efootball #SetFootballFree #eFootball #ForçaBarça"
143,125,3078,"𝐂𝐡𝐚𝐧𝐠𝐞𝐬 𝐭𝐨 𝐤𝐢𝐜𝐤-𝐨𝐟𝐟 𝐭𝐢𝐦𝐞 for #GetafeBarça 

📆 Sunday, May 15th
⏰ 7:30pm CEST
🏟 Coliseum Alfonso Pérez
🏆 @LaLigaEN | Matchday 37 https://t.co/g8H1FoK7KN"
144,147,5118,Well done! 👏👏 https://t.co/dniXlzWjyK
145,116,3141,"Open doors training in Sydney 🇦🇺

https://t.co/mVfHg0UjWf"
146,206,4684,"📌 MEDICAL NEWS 

Eric Garcia has injured his right thumb and requires surgery. Dr Xavier Mir will perform the operation tomorrow under supervision of the FC Barcelona Medical Services. A new medical announcement will be made once the operation is complete https://t.co/ykL6Zdh3s7"
147,5459,108361,"🎂 𝗛𝗔𝗣𝗣𝗬 𝗕𝗜𝗥𝗧𝗛𝗗𝗔𝗬, @DeJongFrenkie21 🎂 https://t.co/If1m26zuwD"
148,394,5790,"G⚽️AL OF THE DAY
🎟 Seven years ago, we qualified for the #UCL final in Berlin.
🔱 The best trident ever seen on a football pitch. https://t.co/bCo9ROUxHV"
149,790,31920,1️⃣3️⃣ goals as a Culer https://t.co/aDcq3sl0nn
150,188,5431,"Another day, another assist for @Dembouz 🪄
https://t.co/wjXXeBb3R4"
151,1259,34708,"if this doesn't put a smile on your face, we don't know what will https://t.co/WdF0OLrLLI"
152,464,10424,💎 Baller. https://t.co/Z6xa4QCKev
